Date,IC_acct_subj,IC_acct_pol,defi_subj,defi_pol,blockchan_subj,blockchain_pol,crypto_subj,crypto_pol,avg_3k_subj,avg_3k_pol,DPI_subj,DPI_pol
10-03-22,0.183636364,0.115757576,0.431554827,0.029985352,0.371597833,0.173343828,0.25660882,0.059043561,0.353253827,0.08745758,0.249035548,0.023822844
11-03-22,0.257142857,-0.006968795,0.447543171,0.107468874,0.265120071,0.08294577,0.253629167,0.070123557,0.32209747,0.086846067,0.455,0.15
12-03-22,0,0,0.414608434,-0.032228916,0.328393841,0.081570248,0.344825072,0.169337951,0.362609116,0.072893094,0.358504399,0.025293255
13-03-22,0,0,0.35504951,0.05133204,0.348951049,0.008007964,0.29127381,0.041482413,0.331758123,0.033607472,0.335445363,0.087603306
14-03-22,0,0,0.395103687,-0.030190732,0.271409284,0.075564699,0.264047421,0.112642063,0.310186797,0.05267201,0.322847011,0.130445795
15-03-22,0.3,0.166666667,0.385789389,0.00462413,0.291154152,0.108485408,0.286304149,0.093623557,0.321082563,0.068911032,0.333340592,0.045535714
16-03-22,0.2,0.13,0.466790014,0.122108116,0.134311834,0.056004516,0.367268176,0.118159524,0.322790008,0.098757385,0.375433136,0.001798419
17-03-22,0.133333333,0,0.415922151,0.080732705,0.262403424,0.086215635,0.338913185,0.088518975,0.339079587,0.085155772,0.502933541,0.030711319
18-03-22,0.125,0.1,0.355095599,0.070454545,0.103122481,0.028083296,0.279456421,0.082839565,0.2458915,0.060459136,0.241078431,-0.004607843
19-03-22,0.125,0.1,0.410003467,0.160939667,0.20353401,0.106185525,0.258406061,0.057226515,0.290647846,0.108117236,0.267506751,0.0450045
20-03-22,0.125,0.1,0.382222222,0.046777778,0.180265873,0.081333333,0.288966865,0.129731006,0.28381832,0.085947373,0.379535865,0.021940928
21-03-22,0.25,0.133333333,0.456424363,0.152965669,0.236407581,0.012769084,0.298637554,0.087088203,0.330489833,0.084274319,0.377545294,0.126058201
22-03-22,0.0875,0.05,0.436429413,0.136902733,0.271271224,0.019777597,0.288031944,0.06580689,0.331910861,0.074162407,0.431451613,0.069159335
23-03-22,0.290909091,0.102272727,0.397462209,0.157639415,0.155735237,0.010419904,0.238817803,0.054410985,0.264005083,0.074156768,0.397973153,0.094092238
24-03-22,0.333333333,0.090909091,0.440639379,0.114653441,0.258411465,0.023985952,0.382782035,0.182754095,0.36061096,0.107131163,0.327622378,0.045017483
25-03-22,0.283333333,0.089393939,0.35259206,0.051281009,0.206389578,0.052607757,0.340296773,0.091865115,0.29975947,0.065251294,0.381818182,0.050378788
26-03-22,0,0,0.433922632,0.032639769,0.35837363,0.103457447,0.369087085,0.10446875,0.387127782,0.080188655,0.47098646,0.109381044
27-03-22,0,0,0.501457759,0.054843893,0.171232972,0.034633028,0.346110332,0.114461356,0.339600354,0.067979426,0.387742082,0.081009342
28-03-22,0.145833333,-0.070454545,0.527505732,0.029982803,0.134444484,0.055708716,0.302548485,0.126350126,0.321499567,0.070680548,0.35963925,0.117272727
29-03-22,0,0,0.478849946,0.15949668,0.189753095,0.047193271,0.355191634,0.149824242,0.341264892,0.118838064,0.305401979,0.076430118
30-03-22,0.244444444,0.144444444,0.397020768,0.053769601,0.250330556,0.073516667,0.374566396,0.086062698,0.34063924,0.071116322,0.257728847,0.127870819
31-03-22,0.05,0.016666667,0.397020768,0.053769601,0.250330556,0.073516667,0.374566396,0.086062698,0.34063924,0.071116322,0.257728847,0.127870819
01-04-22,0.136363636,0.05785124,0.357599105,0.112234114,0.283846724,0.155686597,0.378799856,0.172986111,0.340081895,0.146968941,0.296744036,0.067126048
02-04-22,0.25,0.1,0.304586319,0.125122406,0.402974938,0.106579185,0.322367455,0.158590224,0.343309571,0.130097272,0.266106061,0.027015152
03-04-22,0,0,0.407319982,0.11660441,0.218016474,0.098794493,0.237082741,0.062844769,0.287473066,0.092747891,0.314105871,0.091836123
04-04-22,0.217424242,0.064393939,0.391981207,0.098015873,0.22690708,0.08383407,0.328457251,0.205119499,0.315781846,0.128989814,0.228388726,0.053453894
05-04-22,0.163722944,0.028295455,0.398856329,0.031951058,0.206818915,0.069040422,0.295250241,0.132761183,0.300308495,0.077917555,0.211594749,0.068840944
06-04-22,0.090986395,0.015079365,0.447238519,0.102719997,0.122478355,0.039005411,0.267123773,0.127894949,0.278946883,0.089873452,0.219191919,0.035353535
07-04-22,0.267171717,0.129040404,0.404271546,0.044959708,0.217089755,0.097623341,0.254424892,0.146469841,0.291928731,0.096350963,0.345465505,0.037744534
08-04-22,0.136363636,0.038961039,0.43288553,0.073044896,0.270255856,0.061026479,0.337752237,0.18375083,0.346964541,0.105940735,0.364361919,0.069842224
09-04-22,0.3,0.166666667,0.487202381,-0.016459582,0.237514407,0.097160578,0.215987626,0.104183279,0.313568138,0.061628092,0.240970874,-0.002621359
10-04-22,0.090714286,0.02,0.349590973,-0.048685383,0.175049226,0.101392405,0.313664332,0.116656323,0.279434844,0.056454448,0.339040404,0.060656566
11-04-22,0.261748512,0.044021239,0.143265346,0.011686869,0.314360017,-0.005712889,0.336087278,0.153119444,0.26457088,0.053031141,0.324380165,0.08292011
12-04-22,0.14354067,-0.049043062,0.535533705,0.122753497,0.235360653,0.071866883,0.252416919,0.062940657,0.341103759,0.085853679,0.358398268,0.139090909
13-04-22,0.17826087,0.106521739,0.383391523,0.152434558,0.235649018,0.064237077,0.285530556,0.117359668,0.301523699,0.111343768,0.305424242,0.087893939
14-04-22,0.183730159,0.102020202,0.386271217,0.071587004,0.270541,0.068516751,0.341070606,0.13710627,0.332627608,0.092403342,0.357142857,0.027248677
15-04-22,0.068181818,0.006198347,0.467990441,0.098185573,0.239856634,0.062136183,0.280489755,0.109694625,0.32944561,0.09000546,0.307371007,0.042751843
16-04-22,0.2,0.12,0.339519906,-0.056615925,0.252369909,0.152049651,0.443852381,0.295416071,0.345247399,0.130283266,0.325,-0.105
17-04-22,0.15625,0.1625,0.408917298,-0.015640783,0.126920752,0.030091455,0.515096414,0.396085176,0.350311488,0.136845283,0.248888889,0
18-04-22,0.184615385,0.052403846,0.389565475,0.076619274,0.297087267,0.167401515,0.484019697,0.376207576,0.390224146,0.206742788,0.251649832,0.025353535
19-04-22,0.076923077,0,0.278532669,0.09303433,0.246407548,0.131509185,0.300179058,0.163470563,0.275039759,0.129338026,0.235822511,0.021645022
20-04-22,0.202719726,0.070763367,0.421735502,0.061654841,0.236057211,0.062742934,0.370133333,0.227832215,0.342642015,0.117409996,0.299419946,0.118643148
21-04-22,0.075324675,0.066883117,0.347291924,0.078682869,0.246652785,0.137808464,0.44768961,0.312082305,0.34721144,0.176191213,0.237646185,0.018582413
22-04-22,0.267134002,0.184907517,0.310089836,0.16493698,0.282477308,0.145053065,0.332034271,0.177033099,0.308200472,0.162341048,0.163297872,0.024822695
23-04-22,0.267134002,0.184907517,0.096031746,0.027465986,0.237322695,0.0875,0.354832089,0.167515584,0.22939551,0.094160524,0.171641791,0.02238806
